maker,model_name,displacement_cc,front_sprocket,rear_sprocket,chain_links,chain_pitch,rear_tire_size
トライアンフ,Bonneville Bobber,1200,17,37,108,525,150/80-16
トライアンフ,Bonneville Bobber Icon Edition,1200,17,37,108,525,150/80R16
トライアンフ,Bonneville Bobber Stealth Edition,1200,17,37,108,525,150/80R16
トライアンフ,Bonneville Speedmaster,1200,17,37,108,525,150/80R16
トライアンフ,Bonneville Speedmaster Icon Edition,1200,17,37,108,525,150/80R16
トライアンフ,Bonneville Speedmaster Stealth Edition,1200,17,37,108,525,150/80R16
トライアンフ,Bonneville T120 Icon Edition,1200,17,37,100,525,150/70R17
トライアンフ,Bonneville T120,1200,17,37,100,525,150/70R17
トライアンフ,Bonneville T120 Stealth Edition,1200,17,37,100,525,150/70R17
トライアンフ,Bonneville T120 BLACK Stealth Edition,1200,17,37,100,525,150/70R17
トライアンフ,Bonneville T120 BLACK,1200,17,37,100,525,150/70R17
トライアンフ,Scrambler 1200 X,1197,16,44,110,525,150/70R17
トライアンフ,Scrambler 1200 X Icon Edition,1197,16,44,110,525,150/70R17
トライアンフ,Scrambler 1200 XE Icon Edition,1197,16,44,114,525,150/70R17
トライアンフ,Scrambler 1200 XE,1197,16,44,114,525,150/70R17
トライアンフ,Speed Twin 1200,1197,16,42,102,525,160/60ZR17
トライアンフ,Speed Twin 1200 Stealth Edition,1200,16,42,102,525,160/60ZR17
トライアンフ,Speed Twin,1200,16,42,102,525,160/60ZR17
トライアンフ,Speed Twin 1200 Cafe Racer Edition,1197,16,42,102,525,160/60ZR17
トライアンフ,Speed Twin 1200RS,1197,16,42,102,525,160/60ZR17
トライアンフ,Bonneville T120 BUD EKINS Special Edition,1200,17,37,100,525,150/70R17
トライアンフ,Scrambler 1200 BOND EDITION,1197,16,44,114,525,150/70R17
トライアンフ,Scrambler 1200 Steve McQueen edition,1197,16,44,114,525,150/70R17
トライアンフ,Scrambler 1200 XC,1197,16,44,110,525,150/70R17
トライアンフ,Thruxton 1200,1200,16,42,100,525,160/60ZR17
トライアンフ,Thruxton 1200R,1200,16,42,100,525,160/60ZR17
トライアンフ,Thruxton 1200RS Final Edition,1200,16,42,100,520,160/60ZR17
トライアンフ,Thruxton 1200RS,1200,16,42,100,520,160/60ZR17
トライアンフ,Speed Triple 1200RS,1160,17,44,118,525,190/55ZR17
トライアンフ,Speed Triple 1200RX,1160,17,44,118,525,190/55ZR17
トライアンフ,Speed Triple 1200RR,1158,17,44,118,525,190/55ZR17
トライアンフ,Speed Triple 1200RR BREITLING Limited Edition,1158,17,44,118,525,190/55ZR17
トライアンフ,Speed Triple R,1050,18,43,108,530,190/55ZR17
トライアンフ,Speed Triple R94,1050,18,43,108,530,190/55ZR17
トライアンフ,Speed Triple RS,1050,18,43,108,530,190/55ZR17
トライアンフ,Speed Triple S,1050,18,43,108,530,190/55ZR17
トライアンフ,Sprint GT,1050,19,42,116,,180/55ZR17
トライアンフ,Sprint ST ABS,1050,19,42,106,,180/55ZR17
トライアンフ,Sprint ST,1050,19,42,106,,180/55ZR17
スズキ,GSX250R,248,14,46,116,520,140/70-17
スズキ,GSX250R ABS,248,14,46,116,520,140/70-17
スズキ,RM-Z250,249,13,50,114,520,100/90-19
スズキ,V-Strom 250,248,14,47,116,520,140/70-17
スズキ,V-Strom 250 ABS,248,14,47,116,520,140/70-17
スズキ,250SB,249,14,39,104,520,130/70-17
スズキ,ACROSS,248,13,49,110,520,140/70-17
スズキ,BANDIT 250VZ,248,13,47,114,520,150/60R17
スズキ,BANDIT 250V,248,13,47,114,520,150/60R17
スズキ,BANDIT 250,248,13,47,116,520,150/60R17
スズキ,BANDIT 250LTD,248,13,49,116,520,140/70-17
スズキ,COBRA,248,14,48,112,520,140/60R18
スズキ,DF200E,199,15,45,112,520,100/90-18
スズキ,DJEBEL 200,199,15,45,112,520,100/90-18
スズキ,DJEBEL 200 GW Sports,199,15,45,112,520,100/90-18
スズキ,DJEBEL 250 GPS,249,14,42,108,520,4.60-18
スズキ,DJEBEL 250 XC,249,14,42,108,520,4.60-18
スズキ,DR250R,249,14,42,108,520,4.60-18
スズキ,DR250S,249,13,49,112,520,4.60-17
スズキ,GF250S,249,13,48,108,520,110/80-18
スズキ,GOOSE 250,249,14,44,106,520,130/70-17
スズキ,Grasstracker,249,15,41,100,520,120/80-17
スズキ,Grasstracker BIGBOY,249,15,43,108,520,130/80-18
スズキ,Grasstracker BIGBOY 10周年記念モデル,249,15,43,108,520,130/80-18
スズキ,GSR250,248,14,46,116,520,140/70-17
スズキ,GSR250F,248,14,46,116,520,140/70-17
スズキ,GSR250S,248,14,46,116,520,140/70-17
スズキ,GSX-R250,248,13,47,108,520,130/70-17
スズキ,GSX-R250 SP,248,13,47,108,520,130/70-17
スズキ,GSX-R250R SP,248,14,48,114,520,140/60R18
スズキ,GSX-R250R,248,14,48,114,520,140/60R18
スズキ,GSX150 BANDIT,,15,45,122,428,130/70-17
スズキ,GSX250FX,249,14,48,112,520,140/70-17
スズキ,GSX250S KATANA,248,13,49,116,520,140/70-17
スズキ,GT185,184,14,38,102,520,3.00-18
スズキ,INTRUDER LC250,248,15,43,114,520,150/80-15
スズキ,RG200Γ,195,14,36,106,520,130/70R17
スズキ,RG250Γ,247,14,37,110,520,110/90-18
スズキ,RGV-Γ250SP,249,14,46,114,520,150/60R17
スズキ,RGV250Γ,249,14,46,114,520,140/60R18
スズキ,RH250,249,13,47,112,520,130/80-17
スズキ,RMX250S,249,15,46,112,520,4.60-18
スズキ,ST250 E-Type,249,15,43,108,520,110/90-18
スズキ,ST250,249,15,43,108,520,110/90-18
スズキ,ST250 E-Type Sカスタマイズ,249,15,43,108,520,110/90-18
スズキ,ST250 E-Type Cカスタマイズ,249,15,43,108,520,110/90-18
スズキ,SX200R,199,15,45,112,520,110/80-18
スズキ,VanVan 200,199,15,46,110,520,180/80-14
スズキ,VanVan 200Z,199,15,46,110,520,180/80-14
スズキ,VOLTY,249,15,41,100,520,120/80-17
スズキ,VOLTY Type 1,249,15,41,100,520,120/80-17
スズキ,WOLF 250,219,14,46,114,520,140/60R18
スズキ,DR-Z4S,398,15,43,112,520,120/80-18
スズキ,DR-Z4SM,398,15,41,110,520,140/70R17
スズキ,BANDIT 400VZ,398,14,44,112,525,150/60R17
スズキ,BANDIT 400V,398,14,44,112,525,150/60R17
スズキ,BANDIT 400,398,14,44,112,525,150/60R17
スズキ,BANDIT 400LTD V,398,14,46,114,525,150/70-17
スズキ,Desperado 400,399,15,50,118,520,150/90-15
スズキ,Desperado 400X,399,15,50,118,520,150/90-15
